Document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
Cricket_World_Cup_2023_Summary.docx,-0.038954504,0.027746255,-0.019360352,-0.029433252,0.11955962,0.03556993,-0.093088895,-0.047322813,0.05771922,0.12262847,-0.08230609,-0.07183939,0.04990739,0.053607624,0.062877014,-0.087435074,-0.060949974,-0.120237686,0.00020083821,-0.087654494,0.1241623,0.08278752,0.031988468,-0.022885412,0.094034955,-0.009884789,-0.029529713,-0.03915941,-0.010102497,0.107258685,0.038642146,0.014998176,-0.076042615,-0.044483334,-0.09258173,-0.07447479,-0.09712077,0.06291228,0.076935515,-0.035811137,0.020165438,-0.007801539,0.0036393472,-0.022296086,0.0956076,-0.023426825,-0.076846465,-0.022512306,-0.0708169,0.024171418,0.010030274,0.0068210675,-0.004278018,-0.015087009,-0.018018493,-0.023504399,0.019737987,-0.008150778,-0.013119519,0.010711393,0.08373498,-0.12542251,-0.039823562,0.020509422,0.06001027,-0.07615671,0.009387018,0.05428622,0.0445708,0.115954965,-0.038225375,-0.036532715,0.08002823,-0.021838123,0.060058296,0.098101355,-0.013645108,0.07483955,-0.029755158,0.009492231,0.011422107,-0.051583618,0.087391615,0.057193056,-0.052150596,-0.05158649,0.05463853,-0.019818714,0.0016049001,-0.018148094,0.035791468,0.03635088,0.04272864,0.029209943,-0.008015876,0.03943622,0.03335058,-0.035290983,0.078988746,0.038222406,0.020834,0.024755102,-0.02279908,0.0009908002,-0.011583818,0.051389657,-0.027058179,-0.006200696,-0.017020382,-0.016819611,-0.064831704,0.041565463,0.0050882455,-0.017378874,-0.060799975,0.016645957,0.00013449517,0.05699875,0.040920362,-0.0011423917,-0.049582243,0.0026853774,0.021098945,-0.10580128,0.071035884,0.0439277,0.0016749304,-9.627374e-34,0.022006862,-0.06347111,-0.033071548,0.038799092,-0.050200026,0.07162767,0.024750493,0.03370707,-0.016946442,-0.0037395873,0.007887347,-0.050300375,-0.0023673004,-0.015506394,0.04866671,0.020899108,0.026549907,0.0059020584,-0.02252891,0.08981433,-0.024503317,-0.058137216,0.035958957,-0.054316062,-0.016625708,0.04546035,0.06759019,-0.04949934,-0.047552273,0.00852203,0.08797803,-0.06830275,-0.046263073,-0.012136815,-0.08438907,-0.018351238,-0.018413803,-0.067631505,-0.009132026,-0.016271183,0.009896449,-0.0052640294,-0.031569865,-0.0015275944,-0.021376261,-0.028170811,-0.033412285,0.025639493,-0.06539256,0.12787077,-0.030542668,-0.033082906,0.014750861,-0.04571868,0.038746588,-0.016745122,-0.00050578685,-0.027901564,-0.008431108,-0.015410492,-0.0049133655,-0.08539307,-0.02985129,-0.034799807,-0.014850535,-0.032423954,0.08447529,-0.09780556,-0.028726844,-0.080455944,-0.0062105726,-0.0012809113,-0.03503988,0.07569914,0.058854178,-0.011616315,0.10718938,0.016094206,0.008134959,0.016315838,-0.016775342,0.02758763,-0.0064164135,-0.12621574,-0.037234783,-0.00924323,-0.065566815,-0.08239895,0.07844219,-0.07479129,-0.01664772,-0.07957596,0.060724787,0.12072441,-0.014738477,3.7249846e-34,0.032043356,0.026989471,-0.07166529,-0.010799833,0.021470226,-0.03714315,-0.0017286116,0.029856602,0.015836746,-0.023682144,0.09064174,0.08533641,0.08764867,0.07318642,-0.049700193,-0.039647125,0.07394056,-0.054071438,0.003666902,0.017788561,0.11087544,-0.011112029,0.040058248,-0.037341457,-0.0014941185,0.065957494,0.020488767,0.0036085683,-0.028659847,-0.03904166,0.04374568,-0.036777105,0.013415444,0.049165726,-0.031997018,-0.057911485,-0.022244666,0.055291243,0.0140866805,0.072855264,-0.010455281,0.116529375,-0.05633249,-0.0013538573,0.008956113,-0.10774581,0.038124654,0.048032228,0.07490885,-0.013611594,0.013331734,0.011708976,0.009651482,-0.0039928136,0.056025263,-0.005986901,-0.04366814,-0.031462677,-0.0039108805,-0.0075529064,-0.044578113,0.04139957,0.07533199,0.05795448,-0.038870554,0.069210544,-0.07478254,0.021554329,0.05449635,-0.023279674,-0.04376459,0.022110969,-0.1263355,-0.00085992005,0.11368045,0.03999135,-0.05778583,0.057795055,0.006054387,0.016623642,-0.01518433,0.12184295,-0.020806162,-0.002144122,0.0140998745,0.055372965,-0.009204743,-0.019425271,-0.015163948,-0.029009769,-0.0007951235,0.05412581,0.010615169,0.029469624,0.113812335,-4.7338645e-08,0.02594582,0.05715641,0.0046267156,0.007385433,-0.03494277,-0.013868074,0.004759493,-0.06694972,0.08836704,0.0027006182,-0.01125449,-0.062096484,0.05240052,-0.036604963,0.0070062187,0.06852713,-0.062236533,0.023772953,-0.04190546,0.00051251956,0.011999609,-0.062168613,-0.029692966,0.009429535,0.06396342,-0.006172288,-0.03909591,0.0055324556,-0.051401984,-0.011849885,-0.045772225,-0.040267035,0.05677125,-0.0032965855,-0.01652234,0.0082435,0.028614087,-0.0028078503,0.038886428,0.016455207,-0.045654304,-0.0021061706,0.0026020443,0.03377731,0.03675419,-0.12680218,0.021261213,0.01936766,-0.114692315,-0.08456227,-0.08586744,-0.020767163,-0.07723981,-0.009348891,0.03436691,0.029086042,-0.06410084,-0.036879797,-0.0058089136,0.06469284,0.046661403,-0.023744315,-0.08640166,-0.026108172
FIFA_World_Cup_2022_Summary.docx,-0.016868949,0.07321583,0.0040717465,0.045180466,0.073950976,0.015479282,-0.10407435,0.014881535,0.09645769,0.05511736,-0.04518271,-0.037678458,0.051812474,0.09349134,0.01407851,-0.093917646,-0.08153217,-0.108527474,0.009372609,-0.057366103,0.0992013,-0.042579733,0.05808465,-0.08051677,0.02766038,-0.033918295,-0.09116806,-0.012694393,0.018885938,0.016696677,0.020998789,-0.014790355,-0.011502974,-0.011955422,-0.09543475,-0.012081244,-0.0030472411,-0.004516718,0.030984562,-0.0084877135,0.04582779,-0.037423916,-0.0041269884,-0.045401692,0.12824324,0.00025710443,0.018425088,0.028508483,-0.09118835,0.013275163,0.007506492,0.05818019,0.0035601316,-0.020022387,0.004433568,0.040369663,0.051059194,-0.039810058,-0.02316253,-0.003846936,0.07337012,-0.1394331,-0.048433036,-0.01291393,-0.061923977,-0.06828486,0.079873584,0.02154867,0.014743448,0.06046446,-0.04130121,-0.03426553,0.024198906,-0.016604943,0.07747429,0.08172469,-0.060477853,-0.0010366082,0.0065716635,-0.029792119,0.045956634,-0.03171513,0.07712821,-0.032004144,0.029801833,-0.042009287,0.040905762,0.012051627,0.009744954,-0.032361295,-0.031977218,0.026525587,0.03206188,0.07472265,0.023688186,0.009411065,0.089184314,0.018656533,0.120862514,0.0033525215,0.03775896,-0.020603035,0.022324625,-0.04138475,0.05854187,0.062179245,0.03772737,0.06791044,-0.014128852,-0.007664226,-0.11005043,0.004856482,0.00747158,-0.040752497,-0.055245657,0.042456497,0.049972914,0.05396778,0.03527223,-0.019405862,-0.008377186,-0.011047948,0.053184763,-0.10593428,0.043520126,0.060119655,-0.01694144,9.402128e-34,-0.006483892,-0.04568098,-0.07939192,0.12788992,-0.048876423,0.10812813,-0.004580777,0.1291012,-0.067811675,-0.019242726,-0.029952953,-0.025943238,-0.020553272,0.07808178,0.049110286,-0.020167496,0.04165475,-0.037915617,0.014084394,-0.0035444992,-0.020425662,0.007589439,0.031420708,-0.018620528,0.061078608,0.054817516,-0.036060795,-0.043913163,-0.0538536,0.011068541,0.06332791,-0.15257083,-0.08899337,-0.042274125,-0.038719345,-0.036051594,-0.007300387,0.01768779,-0.005033029,-0.011997662,0.001518592,-0.015519938,-0.019907828,-0.07200729,-0.03038863,-0.034194518,0.011199355,0.007431071,-0.03619188,0.06488629,-0.029637681,0.041401196,0.018926375,-0.020302027,0.06306251,0.010830406,0.002343173,-0.04014595,-0.057258017,0.0154414335,-0.0005676861,0.046767425,-0.033287443,-0.015248478,-0.0074986615,-0.0069175386,0.07668508,0.015840003,0.0145461075,-0.056760997,0.017740358,0.030643668,-0.0315525,0.03572293,0.08191602,-0.060715813,0.10599045,-0.06415414,0.026808308,0.020390796,0.007893532,0.03493133,0.036433987,-0.08304144,-0.10382602,0.059769228,0.0075297793,-0.013800898,-0.06702822,-0.05166382,-0.0692535,-0.03559069,0.08692514,0.057298917,0.022680061,-2.889265e-33,0.07717553,0.046352375,-0.0027211192,-0.079600036,0.045611244,-0.006071929,0.0043631624,0.03852394,0.0014163258,-0.050142445,0.13040376,0.031486563,0.12958106,0.015260768,-0.058376197,-0.06927655,-0.035121456,-0.05086705,-0.03182783,0.012371646,0.06434258,-0.043988336,0.045031272,-0.03630636,0.003885339,0.027423745,0.045317993,-0.014614438,-0.02435598,0.071894795,0.05507569,-0.039486296,0.015161243,-0.005730983,0.037995283,-0.08596576,-0.107643396,0.01504383,-0.003673197,-0.008277763,0.076896176,0.064902596,-0.09445399,-0.0067881774,0.019199144,-0.044640474,0.069748044,0.028953949,0.0061210273,-0.04035662,-0.006658203,0.0266055,-0.08113347,0.054506045,0.054306835,-0.03519214,-0.054462656,0.045701787,-0.019862399,0.008223356,-0.0389643,0.024138497,0.010799241,0.056596946,0.025990248,-0.000788917,-0.11505298,0.06109548,0.019072207,0.01941907,0.013600409,0.04462735,-0.176174,0.03479884,0.051416576,0.088340096,-0.09645248,0.009978499,-0.017742764,-0.012975473,0.01120703,0.027096137,0.0038653128,-0.0104381945,0.0045001,0.013284508,-0.039356887,-0.06534909,-0.0097212065,0.0021696233,0.0007214561,0.0032006148,0.014071524,0.006473033,0.050570667,-5.2217224e-08,-0.02688339,0.089497514,0.047765564,0.017946998,-0.073733866,0.0037128318,-0.047855385,-0.14270231,0.013458742,0.017070053,-0.021578096,-0.0026148395,0.04219311,-0.04347205,-0.0463646,0.044613503,-0.09640966,0.03977726,0.030686771,0.042790778,0.0031905281,-0.080009446,-0.10854317,0.008348132,0.025758365,-0.04899088,-0.042133495,-0.023784632,0.0034413629,-0.085420765,0.013029118,-0.09053587,0.062392257,0.022266999,-0.011184439,-0.0015276927,-0.0664286,-0.04210167,-0.0051201824,-0.04973302,0.06946081,-0.02168762,0.0045381947,0.022732215,-0.018457932,-0.09242671,-0.0021075008,-0.034404937,-0.098491,-0.029164726,-0.03301738,0.029101972,-0.034831062,-0.012635181,0.05521378,0.020314388,-0.02427781,0.015749194,0.017709156,0.05361819,0.03608428,0.0016543639,-0.040073406,-0.016866364
US_Open_2024_Summary.docx,-0.012128287,-0.0070637446,-0.031005071,-0.0136567345,-0.07374614,0.07273442,-0.0057673375,0.026221493,0.016435256,0.008898571,-0.12055904,0.016630717,-0.023499774,0.07667787,0.010458555,0.027904158,-0.010304,0.0105526885,0.005105079,0.10313695,0.12143439,-0.031586066,-0.0029617778,-0.08655717,0.017889831,-0.06508151,-0.0020644297,0.018396527,-0.03457093,0.014181781,0.0318031,-0.027756844,0.0067660185,-0.07899455,-0.03685077,0.0014120493,-0.03853488,0.0050295466,-0.014509077,0.01076839,0.026260538,-0.07694309,0.029290633,0.1430636,0.036323287,0.033444867,-0.020945467,0.03580344,0.0601747,-0.065537676,-0.041810133,0.0316788,0.0028100756,-0.024441743,-0.038831152,0.0507497,0.014078576,-0.036474824,-0.035720613,-0.031097779,0.0070566474,-0.08690309,-0.050746426,-0.0058729555,-0.061717313,-0.051067457,-0.0726246,0.016732799,0.06816261,0.03884521,0.077194095,0.079195395,-0.03316149,0.03878396,0.034846175,0.08063373,-0.05495117,0.07441505,0.05529698,0.021709478,0.07337581,-0.09218658,0.011497573,-0.04458768,0.06290511,0.101923786,0.041671038,-0.0021207095,0.04020253,0.039352953,-0.030473722,0.003946023,-0.04854189,-0.015325881,-0.002973192,-0.106219746,-0.024922894,-0.013757264,0.07227858,0.09835615,0.0767684,0.063445345,0.008673679,0.047811087,0.060748365,0.09123861,0.08101626,0.03317273,-0.081284575,-0.03567121,0.03407313,-0.06519006,0.04150064,0.016907727,-0.08352027,-0.023337817,0.0020286026,0.10694975,0.044572804,-0.063739695,-0.06313124,0.029859694,0.039630476,-0.07849292,0.008389542,0.012870094,0.02117849,3.315751e-33,-0.011319444,-0.0254351,0.0043858048,0.013158031,-0.06130334,0.06424651,-0.017020442,0.0027223986,-0.059741545,-0.025553681,-0.0046736924,-0.0818068,0.027584463,-0.035206035,0.06965652,0.107476294,0.110630475,-0.017339291,0.009429271,0.004625256,0.051555324,0.0109261805,0.050042894,-0.02389381,-0.06622173,0.036926884,0.019396935,-0.053925913,-0.07451248,-0.025857132,0.024418818,-0.03364924,-0.03233864,0.06295257,0.02819568,0.030597808,0.004004062,-0.048734885,0.04158403,-0.028226558,-0.09114573,-0.032919794,0.014265277,-0.0120127285,0.020571472,-0.0727483,-0.06294887,0.09525263,0.065476336,0.015561983,-0.026323847,-0.0020576182,-0.043981295,0.023725796,-0.016551048,-0.048109442,0.040274456,0.015211669,-0.005433977,0.04330594,-0.058913033,-0.014611532,-0.048693877,-0.0278516,-0.08352302,-0.05688618,0.051133536,-0.06887794,-0.06145652,0.045752138,0.02870375,-0.102935925,0.0006412929,0.035775866,0.07656276,0.0077918004,0.09014156,-0.040521838,0.03886463,-0.03849655,-0.012598479,-0.0035480794,0.06182946,-0.013012387,-0.16947256,0.005078561,0.019768365,0.026462886,0.024959797,0.046529047,-0.03744715,-0.07343471,-0.022615992,0.06872157,-0.077363595,-2.8023605e-33,-0.018285753,0.06814989,0.016674707,0.032215383,0.07901957,-0.014451125,0.023202369,0.061425973,0.016845655,-0.07877813,0.112798296,0.006451775,0.14532569,0.037193455,-0.031192787,0.058513824,0.01788733,-0.054070882,-0.07891343,-0.0011923279,-0.019101853,0.061835602,0.010890636,-0.007558783,0.0141125275,-0.023815796,0.10955667,0.004881966,-0.062390603,0.03961676,0.016222505,0.028896617,-0.058754843,0.021562813,0.028763715,0.033077855,0.032096058,0.07368247,0.069079556,0.09583695,0.011406143,0.03789217,-0.07577907,0.00927532,0.07821461,0.020019839,-0.039389014,0.0715256,-0.035810478,-0.04615344,-0.065046616,-1.6380729e-05,-0.07548972,0.0424829,-0.009212513,0.0016530582,-0.00149527,-0.058612116,-0.054038506,0.0284272,0.0042226524,-0.021575958,-0.0018836331,0.017132578,-0.02889184,-0.06612267,-0.013094041,-0.004745084,-0.123494886,-0.019680655,-0.062606014,-0.013201397,-0.040572673,0.017281508,0.047198232,0.0773717,-0.028293345,0.0349885,-0.017972076,0.0021712836,-0.023402251,0.06095706,-0.03580455,0.0004718606,0.027815891,0.09465048,0.03676525,-0.06631552,0.03653004,0.018140594,-0.018384911,0.050766543,-0.028221603,-0.049176954,0.004664919,-5.0056823e-08,0.037728503,0.12101339,0.03739167,0.0006606736,-0.05452988,0.039157134,0.009650802,-0.010207897,0.01689287,0.055831254,-0.04591085,0.013385375,0.010101264,-0.03629942,-0.011768032,0.081695996,-0.0005852046,0.06291485,-0.026694225,-0.018474076,0.082432516,-0.02169486,0.035354763,-0.044652622,-0.0321352,-0.068669625,-0.09050736,0.03082314,-0.06356211,-0.051111717,0.08486313,-0.027453935,0.012787378,0.0019886165,-0.030968752,0.061446644,-0.038132433,0.035795692,0.046567887,-0.015064557,-0.034141455,-0.011538715,0.008217265,0.045805693,-0.035528395,-0.10726602,-0.03206388,-0.040128484,-0.009514693,0.03749015,-0.016531423,-0.026509553,-0.035262894,-0.09197414,0.031060807,0.023772698,-0.048454795,-0.039924026,-0.017083742,0.022020293,-0.078080915,-0.17052746,-0.07759652,-0.017233744
